USNM,taxon,holotype,sex.stage,count,diam,eyelength,depth,Notes
157796,Actinoseta_chelisparsa,0,Female (ovigerous),14,24,123,400,
157178,Actinoseta_chelisparsa,0,Male,13,28,97,400,
150295,Actinoseta_hummelincki,0,Female,12,26,116,6,
157635,Actinoseta_jonesi,0,Female (ovigerous),15,20,120,1.5,
150297,Alphaleberis_alphathrix,0,Male,62,80,639,29,
150290,Amboleberis_americana,0,Female (ovigerous),37,47,271,90,
150296,Amboleberis_americana,0,Male,41,50,325,90,
151969,Archasterope_antarctica,0,Female (ovigerous),8,28,122,NA,
151969,Archasterope_antarctica,0,Male,9,36,157,NA,
1190043,Asteropella_rotundicostata,0,Female (ovigerous),5,17,90,NA,
151162,Asteropterygion_oculitristis,0,Female (ovigerous),8,26.7,93.3,17,
153912,Asteropterygion_oculitristis,0,Male,14,30,133,17,
157806,Asteropterygion_skogsbergi,0,Female (ovigerous),17,32,137,24,
157169,Asteropterygion_thomassini,0,Female (ovigerous),23,14,72,60,
152849,Bruuniella_hazeli,1,Female,20,18,87,NA,
157761,Cyclasterope_fascigera,0,Female,53,73,592,NA,
157761,Cyclasterope_fascigera,0,Male,62,61,602,NA,
157630,Cycloleberis_galatheae,0,Female,54,74,480,42,
43970,Cycloleberis_lobiancoi,0,Female,35,41,302,NA,
43970,Cycloleberis_lobiancoi,0,Male,47,59,533,NA,
143975,Cycloleberis_squamiger,0,Female,46,43,343,1100,
193667,Cycloleberis_squamiger,0,Male,60,79,527,1100,
1085964,Cylindroleberis_kappa,0,Female (ovigerous),11,21,84,7.5,
1085967,Cylindroleberis_kappa,0,Male,29,30,157,7.5,
141820,Cylindroleberis_mackenziei,0,Female,9,20,51,480,was Polyleberis Syme and Poore 2008
193633,Cylindroleberis_variabilis,0,Female (juvenile),9,30,68,8,
193639,Cylindroleberis_variabilis,0,Male,9,36,138,8,
194186,Cylindroleberis_vibex,0,Female,23,31,120,24,
194182,Cylindroleberis_vibex,0,Male,10,23,80,24,
193752,Cylindroleberis_vix,0,Female,11,29,99,20,
194184,Cylindroleberis_vix,0,Male,22,41,205,20,
156754,Diasterope_grisea,0,Female,14,43,185,11,
156667,Diasterope_grisea,0,Male,19,43,209,11,
1180663,Diasterope_pilosa,0,Female,9,25,108,NA,
194460,Diasterope_procax,1,Female,19,60,237,142,
1102439,Diasterope_puertoricensis,1,Male (juvenile),17,40,200,28,
125979,Diasterope_schmitti,0,Female,6,14,80,135,
127488,Diasterope_schmitti,0,Male (juvenile),6,41,202,135,
193637,Heptonema_homelix,1,Female,20,28,108,5,
127382,Homasterope_maccaini,0,Female (ovigerous),20,45,211,27,
127384,Homasterope_maccaini,0,Male,15,40,160,27,
157623,Leuroleberis_mackenziei,0,Female (juvenile),57,40,440,28,
NA,Leuroleberis_poulseni,0,Female,60,59,557,22,
193674,Leuroleberis_poulseni,0,Male,50,56,422,22,
141552,Leuroleberis_sharpei,1,Female,43,26.7,493,48,
157773,Microasteropteron_bacescui,0,Female (ovigerous),3,8,23,24,
1085957,Parasterope_gamma,0,Female (ovigerous),17,24,101,15,
137447,Parasterope_longiseta,0,Female (ovigerous),17,38,133,108,
152856,Parasterope_muelleri,0,Female (ovigerous),17,17,81,175,
158367,Parasterope_muelleri,0,Male,16,15,77,175,
125489,Parasterope_ohlini,0,Male (juvenile),5,16,73,426,
1085958,Parasterope_omega,0,Female (ovigerous),12,23,85,6,
143751,Parasterope_pollex,0,Female (ovigerous),8,17,39,17,
137259,Parasterope_styx,0,Female (ovigerous),8,23,116,4323,
1085960,Parasterope_zeta,0,Female (ovigerous),14,19,84,16.5,
194344,Postasterope_barensi,0,Female (ovigerous),17,16,95,5.2,
158593,Prionotoleberis_pax,0,Female,8,18,77,338,
157126,Prionotoleberis_salomani,0,Female,11,34,104,16,
128044,Skogsbergiella_macrothrix,1,Female,0,0,0,3590,
137064,Skogsbergiella_macrothrix,0,Male,0,0,0,3590,
125820,Skogsbergiella_spinifera,0,Female (ovigerous),21,48,207,670,
141264,Synasterope_bensoni,0,Female,6,17,54,270,
194469,Synasterope_browni,1,Female,10,14,48,96,
194180,Synasterope_calix,0,Female (ovigerous),17,31,120,32,
1021493,Synasterope_matrix,1,Male,8,11,39,29,
158336,Synasterope_setispara,0,Female,9,18,74,16,
1120415,Synasterope_setispara,0,Male,12,33,144,16,
157721,Tetraleberis_tanzania,0,Male,42,68,403,12,
151394,Xenoleberis_californica,0,Female,6,36,79,93,
156812,Xenoleberis_californica,0,Male,8,36,147,93,